Date;Open;High;Low;Close
19701019;84.28;84.29;82.81;83.15
19701020;83.15;84.19;82.62;83.64
19701021;83.64;84.72;83.21;83.66
19701022;83.66;84.04;82.77;83.38
19701023;83.38;84.30;82.91;83.77
19701026;83.77;84.26;82.89;83.31
19701027;83.31;83.73;82.52;83.12
19701028;83.12;83.81;82.29;83.43
19701029;83.43;84.10;82.82;83.36
19701030;83.36;83.80;82.52;83.25
19701102;83.25;83.99;82.66;83.51
19701103;83.51;84.77;83.21;84.22
19701104;84.22;85.26;83.82;84.39
19701105;84.39;84.79;83.53;84.10
19701106;84.10;84.73;83.55;84.22
19701109;84.22;85.27;83.82;84.67
19701110;84.67;85.69;84.18;84.79
19701111;84.79;86.24;84.69;85.03
19701112;85.03;85.54;83.81;84.15
19701113;84.15;84.33;82.92;83.37
19701116;83.37;83.75;82.34;83.24
19701117;83.24;84.17;82.81;83.47
19701118;83.47;83.53;82.41;82.79
19701119;82.79;83.48;82.23;82.91
19701120;82.91;84.06;82.49;83.72
19701123;83.72;84.92;83.47;84.24
19701124;84.24;85.18;83.59;84.78
19701125;84.78;85.70;84.35;85.09
19701127;85.09;86.21;84.67;85.93
19701130;85.93;87.60;85.79;87.20
19701201;87.20;88.61;86.11;87.47
19701202;87.47;88.83;86.72;88.48
19701203;88.48;89.87;88.11;88.90
19701204;88.90;89.89;88.12;89.46
19701207;89.46;90.39;88.76;89.94
19701208;89.94;90.47;88.87;89.47
19701209;89.47;90.03;88.48;89.54
19701210;89.54;90.87;89.01;89.92
19701211;89.92;90.93;89.44;90.26
19701214;90.26;90.81;89.28;89.80
19701215;89.80;90.32;88.93;89.66
19701216;89.66;90.22;88.77;89.72
19701217;89.72;90.61;89.31;90.04
19701218;90.04;90.77;89.42;90.22
19701221;90.22;90.77;89.36;89.94
19701222;89.94;90.84;89.35;90.04
19701223;90.04;90.86;89.35;90.10
19701224;90.10;91.08;89.81;90.61
19701228;90.61;91.49;90.28;91.09
19701229;91.09;92.38;90.73;92.08
19701230;92.08;92.99;91.60;92.27
19701231;92.27;92.79;91.36;92.15
19710104;92.15;92.19;90.64;91.15
19710105;91.15;92.28;90.69;91.80
19710106;91.80;93;91.50;92.35
19710107;92.35;93.26;91.75;92.38
19710108;92.38;93.02;91.60;92.19
19710111;92.19;92.67;90.99;91.98
19710112;91.98;93.28;91.63;92.72
19710113;92.72;93.66;91.88;92.56
19710114;92.56;93.36;91.67;92.80
19710115;92.80;93.94;92.25;93.03
19710118;93.03;94.11;92.63;93.41
19710119;93.41;94.28;92.85;93.76
19710120;93.76;94.53;93.07;93.78
19710121;93.78;94.69;93.15;94.19
19710122;94.19;95.53;93.96;94.88
19710125;94.88;95.93;94.16;95.28
19710126;95.28;96.36;94.69;95.59
19710127;95.59;95.78;93.96;94.89
19710128;94.89;95.78;94.12;95.21
19710129;95.21;96.49;94.79;95.88
19710201;95.88;97.05;95.38;96.42
19710202;96.42;97.19;95.60;96.43
19710203;96.43;97.19;95.58;96.63
19710204;96.63;97.26;95.69;96.62
19710205;96.62;97.58;95.84;96.93
19710208;96.93;98.04;96.13;97.45
19710209;97.45;98.50;96.90;97.51
19710210;97.51;97.97;96.23;97.39
19710211;97.39;98.49;96.99;97.91
19710212;97.91;98.96;97.56;98.43
19710216;98.43;99.59;97.85;98.66
19710217;98.66;99.32;97.32;98.20
19710218;98.20;98.60;96.96;97.56
19710219;97.56;97.79;96.25;96.74
19710222;96.65;96.65;94.97;95.72
19710223;95.72;96.67;94.92;96.09
19710224;96.09;97.34;95.86;96.73
19710225;96.73;97.71;96.08;96.96
19710226;96.96;97.54;95.84;96.75
19710301;96.75;97.48;96.11;97
19710302;97;97.60;96.32;96.98
19710303;96.98;97.54;96.30;96.95
19710304;96.95;98.38;96.90;97.92
19710305;97.92;99.49;97.82;98.96
19710308;98.96;99.44;98.42;99.38
19710309;99.38;100.31;98.72;99.46
19710310;99.46;100.10;98.63;99.30
19710311;99.30;100.29;98.57;99.39
19710312;99.39;100.09;98.64;99.57
19710315;99.57;101.15;99.12;100.71
19710316;100.71;101.94;100.36;101.21
19710317;101.21;101.66;99.98;101.12
19710318;101.12;102.03;100.43;101.19
19710319;101.19;101.74;100.35;101.01
19710322;101.01;101.46;100.08;100.62
19710323;100.62;101.06;99.62;100.28
19710324;100.28;100.63;99.15;99.62
19710325;99.62;100.03;98.36;99.61
19710326;99.61;100.65;99.18;99.95
19710329;99.95;100.74;99.36;100.03
19710330;100.03;100.86;99.41;100.26
19710331;100.26;101.05;99.69;100.31
19710401;100.31;100.99;99.63;100.39
19710402;100.39;101.23;99.86;100.56
19710405;100.56;101.41;99.88;100.79
19710406;100.79;102.11;100.30;101.51
19710407;101.51;102.87;101.13;101.98
19710408;101.98;102.86;101.30;102.10
19710412;102.10;103.54;101.75;102.88
19710413;102.88;103.96;102.25;102.98
19710414;102.98;104.01;102.28;103.37
19710415;103.37;104.40;102.76;103.52
19710416;103.52;104.18;102.68;103.49
19710419;103.49;104.63;103.09;104.01
19710420;104.01;104.58;103.06;103.61
19710421;103.61;104.16;102.55;103.36
19710422;103.36;104.27;102.58;103.56
19710423;103.56;104.63;102.79;104.05
19710426;104.05;104.83;103.19;103.94
19710427;103.94;105.07;103.23;104.59
19710428;104.59;105.60;103.85;104.77
19710429;104.77;105.58;103.90;104.63
19710430;104.63;104.96;103.25;103.95
19710503;103.95;104.11;102.37;103.29
19710504;103.29;104.36;102.71;103.79
19710505;103.79;104.28;102.68;103.78
19710506;103.78;104.42;102.80;103.23
19710507;103.23;103.50;101.86;102.87
19710510;102.87;103.15;101.71;102.36
19710511;102.36;103.37;101.50;102.62
19710512;102.62;103.57;102.12;102.90
19710513;102.90;103.57;101.98;102.69
19710514;102.69;103.17;101.65;102.21
19710517;102.08;102.08;100.25;100.69
19710518;100.69;101.62;99.68;100.83
19710519;100.83;101.75;100.30;101.07
19710520;101.07;102.17;100.61;101.31
19710521;101.31;101.84;100.41;100.99
19710524;100.99;101.24;99.72;100.13
19710525;100.13;100.39;98.73;99.47
19710526;99.47;100.49;98.93;99.59
19710527;99.59;100.14;98.78;99.40
19710528;99.40;100.17;98.68;99.63
19710601;99.63;100.76;99.22;100.20
19710602;100.20;101.53;99.89;100.96
19710603;100.96;102.07;100.30;101.01
19710604;101.01;101.88;100.43;101.30
19710607;101.30;102.02;100.55;101.09
19710608;101.09;101.50;99.91;100.32
19710609;100.32;100.97;99.28;100.29
19710610;100.29;101.23;99.78;100.64
19710611;100.64;101.71;100.18;101.07
19710614;101.07;101.28;99.78;100.22
19710615;100.22;101.10;99.45;100.32
19710616;100.32;101.29;99.68;100.52
19710617;100.52;101.37;99.87;100.50
19710618;100.50;100.63;98.65;98.97
19710621;98.97;99.18;97.22;97.87
19710622;97.87;98.66;96.92;97.59
19710623;97.59;98.95;97.36;98.41
19710624;98.41;99;97.59;98.13
19710625;98.13;98.66;97.33;97.99
19710628;97.99;98.48;97.02;97.74
19710629;97.74;99.39;97.61;98.82
19710630;98.82;100.29;98.68;98.70
19710701;99.16;100.65;99.16;99.78
19710702;99.78;100.31;99.09;99.78
19710706;99.78;100.35;99.10;99.76
19710707;99.76;100.83;99.25;100.04
19710708;100.04;101.03;99.59;100.34
19710709;100.34;101.33;99.86;100.69
19710712;100.69;101.52;100.19;100.82
19710713;100.82;101.06;99.07;99.50
19710714;99.50;99.83;98.23;99.22
19710715;99.22;100.48;98.76;99.28
19710716;99.28;100.35;98.64;99.11
19710719;99.11;99.57;98.11;98.93
19710720;98.93;100.01;98.60;99.32
19710721;99.32;100;98.74;99.28
19710722;99.28;99.82;98.50;99.11
19710723;99.11;99.60;98.26;98.94
19710726;98.94;99.47;96.67;98.14
19710727;98.14;98.99;97.42;97.78
19710728;97.78;98.15;96.51;97.07
19710729;97.07;97.22;95.37;96.02
19710730;96.02;96.78;95.08;95.58
19710802;95.58;96.76;95.22;95.96
19710803;95.96;96.11;94.06;94.51
19710804;94.51;95.34;93.35;93.89
19710805;93.89;94.89;93.33;94.09
19710806;94.09;94.91;93.63;94.25
19710809;94.25;94.55;93.17;93.53
19710810;93.53;94.13;92.81;93.54
19710811;93.54;95.06;93.35;94.66
19710812;94.81;96.50;94.81;96
19710813;96;96.53;95.19;95.69
19710816;97.90;100.96;97.90;98.76
19710817;98.76;101;98.49;99.99
19710818;99.99;100.19;98.06;98.60
19710819;98.60;99.07;97.35;98.16
19710820;98.16;98.94;97.52;98.33
19710823;98.33;99.96;98.09;99.25
19710824;99.25;101.02;99.15;100.40
19710825;100.40;101.51;99.77;100.41
19710826;100.41;101.12;99.40;100.24
19710827;100.24;101.22;99.76;100.48
19710830;100.48;100.89;99.17;99.52
19710831;99.52;99.76;98.32;99.03
19710901;99.03;99.84;98.50;99.07
19710902;99.07;99.80;98.52;99.29
19710903;99.29;100.93;99.10;100.69
19710907;100.69;102.25;100.43;101.15
19710908;101.15;101.94;100.52;101.34
19710909;101.34;101.88;100.38;100.80
19710910;100.80;101.01;99.69;100.42
19710913;100.42;100.84;99.49;100.07
19710914;100.07;100.35;98.99;99.34
19710915;99.34;100.24;98.79;99.77
19710916;99.77;100.35;99.07;99.66
19710917;99.66;100.52;99.26;99.96
19710920;99.96;100.40;99.14;99.68
19710921;99.68;100.08;98.71;99.34
19710922;99.34;99.72;98.15;98.47
19710923;98.47;99.12;97.61;98.38
19710924;98.38;99.35;97.78;98.15
19710927;98.15;98.41;96.97;97.62
19710928;97.62;98.55;97.12;97.88
19710929;97.88;98.51;97.29;97.90
19710930;97.90;98.97;97.48;98.34
19711001;98.34;99.49;97.96;98.93
19711004;98.93;100.04;98.62;99.21
19711005;99.21;99.78;98.34;99.11
19711006;99.11;100.13;98.49;99.82
19711007;99.82;100.96;99.42;100.02
19711008;100.02;100.30;98.87;99.36
19711011;99.36;99.62;98.58;99.21
19711012;99.21;100.20;98.62;99.57
19711013;99.57;100.08;98.61;99.03
19711014;99.03;99.25;97.74;98.13
19711015;98.13;98.45;97.03;97.79
19711018;97.79;98.33;96.98;97.35
19711019;97.35;97.66;96.05;97
19711020;97;97.45;95.23;95.65
19711021;95.65;96.33;94.59;95.60
19711022;95.60;96.83;94.97;95.57
19711025;95.57;95.76;94.57;95.10
19711026;95.02;95.02;94.38;94.74
19711027;94.74;94.99;93.39;93.79
19711028;93.79;94.75;92.96;93.96
19711029;93.96;94.71;93.28;94.23
19711101;94.23;94.43;92.48;92.80
19711102;92.80;93.73;91.84;93.18
19711103;93.27;95.31;93.27;94.91
19711104;94.91;96.08;94.37;94.79
19711105;94.79;95.01;93.64;94.46
19711108;94.46;94.97;93.78;94.39
19711109;94.39;95.31;93.94;94.46
19711110;94.46;94.84;93.10;93.41
19711111;93.41;93.54;91.64;92.12
19711112;92.12;92.90;90.93;92.12
19711115;92.12;92.69;91.38;91.81
19711116;91.81;93.15;91.21;92.71
19711117;92.71;93.35;91.80;92.85
19711118;92.85;93.62;91.88;92.13
19711119;92.13;92.38;90.95;91.61
19711122;91.61;92.12;90.51;90.79
19711123;90.79;91.10;89.34;90.16
19711124;90.16;91.14;89.73;90.33
19711126;90.33;92.19;90.27;91.94
19711129;92.04;94.90;92.04;93.41
19711130;93.41;94.43;92.51;93.99
19711201;93.99;96.12;93.95;95.44
19711202;95.44;96.59;94.73;95.84
19711203;95.84;97.57;95.36;97.06
19711206;97.06;98.17;96.07;96.51
19711207;96.51;97.35;95.40;96.87
19711208;96.87;97.65;96.08;96.92
19711209;96.96;96.96;96.96;96.96
19711210;97.69;97.69;97.69;97.69
19711213;97.97;97.97;97.97;97.97
19711214;97.67;97.67;97.67;97.67
19711215;98.54;98.54;98.54;98.54
19711216;99.74;99.74;99.74;99.74
19711217;100.26;100.26;100.26;100.26
19711220;101.55;101.55;101.55;101.55
19711221;101.80;101.80;101.80;101.80
19711222;101.18;101.18;101.18;101.18
19711223;100.74;100.74;100.74;100.74
19711227;100.95;100.95;100.95;100.95
19711228;101.95;101.95;101.95;101.95
19711229;102.21;102.21;102.21;102.21
19711230;101.78;101.78;101.78;101.78
19711231;102.09;102.09;102.09;102.09
19720103;102.09;102.85;101.19;101.67
19720104;101.67;102.59;100.87;102.09
19720105;102.09;103.69;101.90;103.06
19720106;103.06;104.20;102.66;103.51
19720107;103.51;104.29;102.38;103.47
19720110;103.47;103.97;102.44;103.32
19720111;103.32;104.30;102.85;103.65
19720112;103.65;104.66;103.05;103.59
19720113;103.59;103.80;102.29;102.99
19720114;102.99;103.89;102.41;103.39
19720117;103.39;104.24;102.80;103.70
19720118;103.70;104.85;103.35;104.05
19720119;104.05;104.61;102.83;103.88
19720120;103.88;105;103.32;103.88
19720121;103.88;104.40;102.75;103.65
19720124;103.65;104.03;102.20;102.57
19720125;102.57;103.59;101.63;102.70
19720126;102.70;103.31;101.81;102.50
19720127;102.50;103.93;102.20;103.50
19720128;103.50;104.98;103.22;104.16
19720131;104.16;104.88;103.30;103.94
19720201;103.94;104.57;103.10;104.01
19720202;104.01;105.41;103.50;104.68
19720203;104.68;105.43;103.85;104.64
19720204;104.64;105.48;104.05;104.86
19720207;104.86;105.46;103.97;104.54
19720208;104.54;105.22;103.90;104.74
19720209;104.74;106.03;104.36;105.55
19720210;105.55;106.69;104.97;105.59
19720211;105.59;105.91;104.45;105.08
19720214;105.08;105.53;104.03;104.59
19720215;104.59;105.59;104.10;105.03
19720216;105.03;106.25;104.65;105.62
19720217;105.62;106.65;104.96;105.59
19720218;105.59;106.01;104.47;105.28
19720222;105.28;106.18;104.65;105.29
19720223;105.29;106.18;104.72;105.38
19720224;105.38;106.24;104.76;105.45
19720225;105.45;106.73;105.04;106.18
19720228;106.18;107.04;105.37;106.19
19720229;106.19;107.16;105.45;106.57
19720301;106.57;108.13;106.21;107.35
19720302;107.35;108.39;106.63;107.32
19720303;107.32;108.51;106.78;107.94
19720306;107.94;109.40;107.64;108.77
19720307;108.77;109.72;108.02;108.87
19720308;108.87;109.68;108.04;108.96
19720309;108.96;109.75;108.19;108.94
19720310;108.94;109.37;107.77;108.38
19720313;108.38;108.52;106.71;107.33
19720314;107.33;108.20;106.71;107.61
19720315;107.61;108.55;107.09;107.75
19720316;107.75;108.22;106.55;107.50
19720317;107.50;108.61;106.89;107.92
19720320;107.92;108.81;107.18;107.59
19720321;107.59;107.68;105.86;106.69
19720322;106.69;107.52;106;106.84
19720323;106.84;108.33;106.67;107.75
19720324;107.75;108.36;106.95;107.52
19720327;107.52;108;106.53;107.30
19720328;107.30;108.08;106.22;107.17
19720329;107.17;107.41;105.98;106.49
19720330;106.49;107.67;106.07;107.20
19720403;107.20;108.26;106.75;107.48
19720404;107.48;108.62;106.77;108.12
19720405;108.12;109.64;107.96;109
19720406;109;110.29;108.53;109.53
19720407;109.53;110.15;108.53;109.62
19720410;109.62;110.54;108.89;109.45
19720411;109.45;110.38;108.76;109.76
19720412;109.76;111.11;109.36;110.18
19720413;110.18;110.79;109.37;109.91
19720414;109.91;110.56;109.07;109.84
19720417;109.84;110.22;108.77;109.51
19720418;109.51;110.64;109.02;109.77
19720419;109.77;110.35;108.71;109.20
19720420;109.20;109.69;108.08;109.04
19720421;109.04;109.92;108.30;108.89
19720424;108.89;109.19;107.62;108.19
19720425;108.19;108.29;106.70;107.12
19720426;107.12;107.89;106.18;106.89
19720427;106.89;107.89;106.42;107.05
19720428;107.05;108.28;106.70;107.67
19720501;107.67;108;106.30;106.69
19720502;106.69;107.37;105.55;106.08
19720503;106.08;107.24;105.44;105.99
19720504;105.99;106.81;105.14;106.25
19720505;106.25;107.33;105.70;106.63
19720508;106.63;106.81;105.36;106.14
19720509;106.06;106.06;103.83;104.74
19720510;104.74;106.10;104.43;105.42
19720511;105.42;106.45;104.90;105.77
19720512;105.77;107.02;105.49;106.38
19720515;106.38;107.45;106.06;106.86
19720516;106.86;107.55;106.13;106.66
19720517;106.66;107.38;106.02;106.89
19720518;106.89;108.39;106.72;107.94
19720519;107.94;109.59;107.74;108.98
19720522;108.98;110.37;108.79;109.69
19720523;109.69;110.46;108.91;109.78
19720524;109.78;111.07;109.39;110.31
19720525;110.31;111.20;109.67;110.46
19720526;110.46;111.31;109.84;110.66
19720530;110.66;111.48;109.78;110.35
19720531;110.35;110.52;108.92;109.53
19720601;109.53;110.35;108.97;109.69
19720602;109.69;110.51;108.93;109.73
19720605;109.73;109.92;108.28;108.82
19720606;108.82;109.32;107.71;108.21
19720607;108.21;108.52;106.91;107.65
19720608;107.65;108.52;106.90;107.28
19720609;107.28;107.68;106.30;106.86
19720612;106.86;107.92;106.29;107.01
19720613;107.01;108.03;106.38;107.55
19720614;107.55;109.15;107.38;108.39
19720615;108.39;109.52;107.78;108.44
19720616;108.44;108.94;107.54;108.36
19720619;108.36;108.78;107.37;108.11
19720620;108.11;109.12;107.64;108.56
19720621;108.56;109.66;107.98;108.79
19720622;108.79;109.26;107.62;108.68
19720623;108.68;109.33;107.69;108.27
19720626;108.23;108.23;106.68;107.48
19720627;107.48;108.29;106.70;107.37
19720628;107.37;107.87;106.49;107.02
19720629;107.02;107.47;105.94;106.82
19720630;106.82;107.91;106.40;107.14
19720703;107.14;107.95;106.72;107.49
19720705;107.49;108.80;107.14;108.10
19720706;108.28;110.27;108.28;109.04
19720707;109.04;109.66;108.16;108.69
19720710;108.69;109.16;107.62;108.11
19720711;108.11;108.35;106.87;107.32
19720712;107.32;108.15;106.42;106.89
19720713;106.89;107.30;105.62;106.28
19720714;106.28;107.58;105.77;106.80
19720717;106.80;107.37;105.55;105.88
19720718;105.88;106.40;104.43;105.83
19720719;105.83;107.36;105.47;106.14
19720720;106.14;106.68;105.12;105.81
19720721;105.81;107.05;104.99;106.66
19720724;106.66;108.67;106.63;107.92
19720725;107.92;108.88;107.06;107.60
19720726;107.60;108.42;106.79;107.53
19720727;107.53;108.31;106.61;107.28
19720728;107.28;108.03;106.52;107.38
19720731;107.38;108.06;106.60;107.39
19720801;107.39;108.85;107.06;108.40
19720802;108.40;109.85;108.12;109.29
19720803;109.29;110.88;108.90;110.14
19720804;110.14;111.12;109.37;110.43
19720807;110.43;111.38;109.69;110.61
19720808;110.61;111.32;109.67;110.69
19720809;110.69;111.57;109.98;110.86
19720810;110.86;111.68;110.09;111.05
19720811;111.05;112.40;110.52;111.95
19720814;111.95;113.45;111.66;112.55
19720815;112.55;113.04;111.27;112.06
19720816;112.06;112.80;110.87;111.66
19720817;111.66;112.41;110.72;111.34
19720818;111.34;112.53;110.81;111.76
19720821;111.76;112.74;110.75;111.72
19720822;111.72;113.16;111.28;112.41
19720823;112.41;113.27;111.30;112.26
19720824;112.26;112.81;110.62;111.02
19720825;111.02;111.53;109.78;110.67
19720828;110.67;111.24;109.71;110.23
19720829;110.23;111.02;109.26;110.41
19720830;110.41;111.33;109.90;110.57
19720831;110.57;111.52;110.08;111.09
19720901;111.09;112.12;110.70;111.51
19720905;111.51;112.08;110.75;111.23
19720906;111.23;111.38;110.04;110.55
19720907;110.55;111.06;109.71;110.29
19720908;110.29;110.90;109.67;110.15
19720911;110.15;110.57;109.01;109.51
19720912;109.51;109.84;107.81;108.47
19720913;108.47;109.36;107.84;108.90
19720914;108.90;109.64;108.21;108.93
19720915;108.93;109.49;108.10;108.81
19720918;108.81;109.22;107.86;108.61
19720919;108.61;109.57;108.08;108.55
19720920;108.55;109.12;107.84;108.60
19720921;108.60;109.13;107.75;108.43
19720922;108.43;109.20;107.72;108.52
19720925;108.52;109.09;107.67;108.05
19720926;108.05;108.97;107.35;108.12
19720927;108.12;109.92;107.79;109.66
19720928;109.66;110.75;108.75;110.35
19720929;110.35;110.55;108.05;110.55
19721002;110.55;110.98;109.49;110.16
19721003;110.16;110.90;109.47;110.30
19721004;110.30;111.35;109.58;110.09
19721005;110.09;110.52;108.49;108.89
